id,site,data,titulo_original,subtitulo_original,texto_original,url,pipeline_nlp,analise_sentimento
11,Jovem Pan,2026-04-28 06:52:00,Frente fria provoca chuvas e derruba temperaturas no centro-sul,,Frente fria provoca chuvas e derruba temperaturas no centro-sul ,,"{'etapa_1_limpeza': 'Frente fria provoca chuvas e derruba temperaturas no centro-sul', 'etapa_2_normalizacao': 'frente fria provoca chuvas e derruba temperaturas no centro-sul', 'etapa_3_entidades': [], 'etapa_4_tokens': [{'original': 'frente', 'processado': 'frente'}, {'original': 'fria', 'processado': 'frio'}, {'original': 'provoca', 'processado': 'provocar'}, {'original': 'chuvas', 'processado': 'chuva'}, {'original': 'e', 'processado': 'e'}, {'original': 'derruba', 'processado': 'derruba'}, {'original': 'temperaturas', 'processado': 'temperatura'}, {'original': 'no', 'processado': 'em o'}, {'original': 'centro-sul', 'processado': 'centro-sul'}], 'etapa_5_lista_tokens': ['frente', 'frio', 'provocar', 'chuva', 'e', 'derruba', 'temperatura', 'em o', 'centro-sul'], 'etapa_6_texto_final': 'frente frio provocar chuva e derruba temperatura em o centro-sul'}","{'sentimento': 'NEG', 'confianca': 0.4647}"
12,Jovem Pan,2026-04-28 05:39:00,Seguro auto cobre enchente? O que a sua apólice realmente diz,,Seguro auto cobre enchente? O que a sua apólice realmente diz ,,"{'etapa_1_limpeza': 'Seguro auto cobre enchente? O que a sua apólice realmente diz', 'etapa_2_normalizacao': 'seguro auto cobre enchente? o que a sua apólice realmente diz', 'etapa_3_entidades': [], 'etapa_4_tokens': [{'original': 'seguro', 'processado': 'seguro'}, {'original': 'auto', 'processado': 'auto'}, {'original': 'cobre', 'processado': 'cobrir'}, {'original': 'enchente', 'processado': 'enchente'}, {'original': 'o', 'processado': 'o'}, {'original': 'que', 'processado': 'que'}, {'original': 'a', 'processado': 'o'}, {'original': 'sua', 'processado': 'seu'}, {'original': 'apólice', 'processado': 'apólice'}, {'original': 'realmente', 'processado': 'realmente'}, {'original': 'diz', 'processado': 'dizer'}], 'etapa_5_lista_tokens': ['seguro', 'auto', 'cobrir', 'enchente', 'o', 'que', 'o', 'seu', 'apólice', 'realmente', 'dizer'], 'etapa_6_texto_final': 'seguro auto cobrir enchente o que o seu apólice realmente dizer'}","{'sentimento': 'NEG', 'confianca': 0.628}"
13,Jovem Pan,2026-04-27 14:19:00,"El Niño deve entrar em ação em maio e afetar chuvas no Brasil, diz entidade internacional",,"El Niño deve entrar em ação em maio e afetar chuvas no Brasil, diz entidade internacional ",,"{'etapa_1_limpeza': 'El Niño deve entrar em ação em maio e afetar chuvas no Brasil, diz entidade internacional', 'etapa_2_normalizacao': 'el niño deve entrar em ação em maio e afetar chuvas no brasil, diz entidade internacional', 'etapa_3_entidades': [{'texto': 'el niño', 'tipo': 'MISC'}, {'texto': 'brasil', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'el', 'processado': 'el'}, {'original': 'niño', 'processado': 'niño'}, {'original': 'deve', 'processado': 'dever'}, {'original': 'entrar', 'processado': 'entrar'}, {'original': 'em', 'processado': 'em'}, {'original': 'ação', 'processado': 'ação'}, {'original': 'em', 'processado': 'em'}, {'original': 'maio', 'processado': 'maio'}, {'original': 'e', 'processado': 'e'}, {'original': 'afetar', 'processado': 'afetar'}, {'original': 'chuvas', 'processado': 'chuva'}, {'original': 'no', 'processado': 'em o'}, {'original': 'brasil', 'processado': 'brasil'}, {'original': 'diz', 'processado': 'dizer'}, {'original': 'entidade', 'processado': 'entidade'}, {'original': 'internacional', 'processado': 'internacional'}], 'etapa_5_lista_tokens': ['el', 'niño', 'dever', 'entrar', 'em', 'ação', 'em', 'maio', 'e', 'afetar', 'chuva', 'em o', 'brasil', 'dizer', 'entidade', 'internacional'], 'etapa_6_texto_final': 'el niño dever entrar em ação em maio e afetar chuva em o brasil dizer entidade internacional'}","{'sentimento': 'NEU', 'confianca': 0.4439}"
14,Jovem Pan,2026-04-22 12:00:00,Brasil tem alertas de tempestade e baixa umidade nesta quarta-feira,,Brasil tem alertas de tempestade e baixa umidade nesta quarta-feira ,,"{'etapa_1_limpeza': 'Brasil tem alertas de tempestade e baixa umidade nesta quarta-feira', 'etapa_2_normalizacao': 'brasil tem alertas de tempestade e baixa umidade nesta quarta-feira', 'etapa_3_entidades': [{'texto': 'brasil', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'brasil', 'processado': 'brasil'}, {'original': 'tem', 'processado': 'ter'}, {'original': 'alertas', 'processado': 'alerta'}, {'original': 'de', 'processado': 'de'}, {'original': 'tempestade', 'processado': 'tempestade'}, {'original': 'e', 'processado': 'e'}, {'original': 'baixa', 'processado': 'baixo'}, {'original': 'umidade', 'processado': 'umidade'}, {'original': 'nesta', 'processado': 'em este'}, {'original': 'quarta-feira', 'processado': 'quarta-feira'}], 'etapa_5_lista_tokens': ['brasil', 'ter', 'alerta', 'de', 'tempestade', 'e', 'baixo', 'umidade', 'em este', 'quarta-feira'], 'etapa_6_texto_final': 'brasil ter alerta de tempestade e baixo umidade em este quarta-feira'}","{'sentimento': 'NEU', 'confianca': 0.4692}"
15,Jovem Pan,2026-04-19 03:50:00,Pane elétrica na chuva: entenda as causas e como evitar o problema,,Pane elétrica na chuva: entenda as causas e como evitar o problema ,,"{'etapa_1_limpeza': 'Pane elétrica na chuva: entenda as causas e como evitar o problema', 'etapa_2_normalizacao': 'pane elétrica na chuva: entenda as causas e como evitar o problema', 'etapa_3_entidades': [], 'etapa_4_tokens': [{'original': 'pane', 'processado': 'pane'}, {'original': 'elétrica', 'processado': 'elétrico'}, {'original': 'na', 'processado': 'em o'}, {'original': 'chuva', 'processado': 'chuva'}, {'original': 'entenda', 'processado': 'entender'}, {'original': 'as', 'processado': 'o'}, {'original': 'causas', 'processado': 'causa'}, {'original': 'e', 'processado': 'e'}, {'original': 'como', 'processado': 'como'}, {'original': 'evitar', 'processado': 'evitar'}, {'original': 'o', 'processado': 'o'}, {'original': 'problema', 'processado': 'problema'}], 'etapa_5_lista_tokens': ['pane', 'elétrico', 'em o', 'chuva', 'entender', 'o', 'causa', 'e', 'como', 'evitar', 'o', 'problema'], 'etapa_6_texto_final': 'pane elétrico em o chuva entender o causa e como evitar o problema'}","{'sentimento': 'NEU', 'confianca': 0.5477}"
16,Jovem Pan,2026-04-19 02:01:00,Guia para dirigir à noite com chuva: visibilidade e segurança,,Guia para dirigir à noite com chuva: visibilidade e segurança ,,"{'etapa_1_limpeza': 'Guia para dirigir à noite com chuva: visibilidade e segurança', 'etapa_2_normalizacao': 'guia para dirigir à noite com chuva: visibilidade e segurança', 'etapa_3_entidades': [{'texto': 'guia', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'guia', 'processado': 'guia'}, {'original': 'para', 'processado': 'para'}, {'original': 'dirigir', 'processado': 'dirigir'}, {'original': 'à', 'processado': 'a o'}, {'original': 'noite', 'processado': 'noite'}, {'original': 'com', 'processado': 'com'}, {'original': 'chuva', 'processado': 'chuva'}, {'original': 'visibilidade', 'processado': 'visibilidade'}, {'original': 'e', 'processado': 'e'}, {'original': 'segurança', 'processado': 'segurança'}], 'etapa_5_lista_tokens': ['guia', 'para', 'dirigir', 'a o', 'noite', 'com', 'chuva', 'visibilidade', 'e', 'segurança'], 'etapa_6_texto_final': 'guia para dirigir a o noite com chuva visibilidade e segurança'}","{'sentimento': 'POS', 'confianca': 0.4688}"
17,Jovem Pan,2026-04-06 19:49:00,Ciclone extratropical atinge o Brasil nesta semana,,Ciclone extratropical atinge o Brasil nesta semana ,,"{'etapa_1_limpeza': 'Ciclone extratropical atinge o Brasil nesta semana', 'etapa_2_normalizacao': 'ciclone extratropical atinge o brasil nesta semana', 'etapa_3_entidades': [{'texto': 'brasil', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'ciclone', 'processado': 'ciclone'}, {'original': 'extratropical', 'processado': 'extratropical'}, {'original': 'atinge', 'processado': 'atingir'}, {'original': 'o', 'processado': 'o'}, {'original': 'brasil', 'processado': 'brasil'}, {'original': 'nesta', 'processado': 'em este'}, {'original': 'semana', 'processado': 'semana'}], 'etapa_5_lista_tokens': ['ciclone', 'extratropical', 'atingir', 'o', 'brasil', 'em este', 'semana'], 'etapa_6_texto_final': 'ciclone extratropical atingir o brasil em este semana'}","{'sentimento': 'NEU', 'confianca': 0.5556}"
18,Jovem Pan,2026-04-06 13:18:00,Chegada de frente fria no litoral deve causar chuva e queda de temperatura em SP,,Chegada de frente fria no litoral deve causar chuva e queda de temperatura em SP ,,"{'etapa_1_limpeza': 'Chegada de frente fria no litoral deve causar chuva e queda de temperatura em SP', 'etapa_2_normalizacao': 'chegada de frente fria no litoral deve causar chuva e queda de temperatura em sp', 'etapa_3_entidades': [{'texto': 'sp', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'chegada', 'processado': 'chegada'}, {'original': 'de', 'processado': 'de'}, {'original': 'frente', 'processado': 'frente'}, {'original': 'fria', 'processado': 'frio'}, {'original': 'no', 'processado': 'em o'}, {'original': 'litoral', 'processado': 'litoral'}, {'original': 'deve', 'processado': 'dever'}, {'original': 'causar', 'processado': 'causar'}, {'original': 'chuva', 'processado': 'chuva'}, {'original': 'e', 'processado': 'e'}, {'original': 'queda', 'processado': 'queda'}, {'original': 'de', 'processado': 'de'}, {'original': 'temperatura', 'processado': 'temperatura'}, {'original': 'em', 'processado': 'em'}, {'original': 'sp', 'processado': 'sp'}], 'etapa_5_lista_tokens': ['chegada', 'de', 'frente', 'frio', 'em o', 'litoral', 'dever', 'causar', 'chuva', 'e', 'queda', 'de', 'temperatura', 'em', 'sp'], 'etapa_6_texto_final': 'chegada de frente frio em o litoral dever causar chuva e queda de temperatura em sp'}","{'sentimento': 'NEG', 'confianca': 0.6643}"
19,Jovem Pan,2026-04-05 17:09:00,Inmet emite alerta de tempestades para maior parte do Brasil até terça,,Inmet emite alerta de tempestades para maior parte do Brasil até terça ,,"{'etapa_1_limpeza': 'Inmet emite alerta de tempestades para maior parte do Brasil até terça', 'etapa_2_normalizacao': 'inmet emite alerta de tempestades para maior parte do brasil até terça', 'etapa_3_entidades': [{'texto': 'inmet', 'tipo': 'PER'}, {'texto': 'brasil', 'tipo': 'LOC'}], 'etapa_4_tokens': [{'original': 'inmet', 'processado': 'inmet'}, {'original': 'emite', 'processado': 'emite'}, {'original': 'alerta', 'processado': 'alertar'}, {'original': 'de', 'processado': 'de'}, {'original': 'tempestades', 'processado': 'tempestade'}, {'original': 'para', 'processado': 'para'}, {'original': 'maior', 'processado': 'grande'}, {'original': 'parte', 'processado': 'parte'}, {'original': 'do', 'processado': 'de o'}, {'original': 'brasil', 'processado': 'brasil'}, {'original': 'até', 'processado': 'até'}, {'original': 'terça', 'processado': 'terça'}], 'etapa_5_lista_tokens': ['inmet', 'emite', 'alertar', 'de', 'tempestade', 'para', 'grande', 'parte', 'de o', 'brasil', 'até', 'terça'], 'etapa_6_texto_final': 'inmet emite alertar de tempestade para grande parte de o brasil até terça'}","{'sentimento': 'NEU', 'confianca': 0.5514}"
20,Jovem Pan,2026-04-04 17:41:00,Domingo de Páscoa terá calor e pancadas de chuva,,Domingo de Páscoa terá calor e pancadas de chuva ,,"{'etapa_1_limpeza': 'Domingo de Páscoa terá calor e pancadas de chuva', 'etapa_2_normalizacao': 'domingo de páscoa terá calor e pancadas de chuva', 'etapa_3_entidades': [{'texto': 'domingo de páscoa', 'tipo': 'MISC'}], 'etapa_4_tokens': [{'original': 'domingo', 'processado': 'domingo'}, {'original': 'de', 'processado': 'de'}, {'original': 'páscoa', 'processado': 'páscoa'}, {'original': 'terá', 'processado': 'ter'}, {'original': 'calor', 'processado': 'calor'}, {'original': 'e', 'processado': 'e'}, {'original': 'pancadas', 'processado': 'pancada'}, {'original': 'de', 'processado': 'de'}, {'original': 'chuva', 'processado': 'chuva'}], 'etapa_5_lista_tokens': ['domingo', 'de', 'páscoa', 'ter', 'calor', 'e', 'pancada', 'de', 'chuva'], 'etapa_6_texto_final': 'domingo de páscoa ter calor e pancada de chuva'}","{'sentimento': 'NEG', 'confianca': 0.5576}"
